# frame times for dvs-video.avi
# frame# time(s)
0	  0.023654
1	  0.033654
2	  0.043654
3	  0.053654
4	  0.063654
5	  0.073654
6	  0.083654
7	  0.093654
8	  0.103654
9	  0.113654
10	  0.123654
11	  0.133654
12	  0.143654
13	  0.153654
14	  0.163654
15	  0.173654
16	  0.183654
17	  0.193654
18	  0.203654
19	  0.213654
20	  0.223654
21	  0.233654
22	  0.243654
23	  0.253654
24	  0.263654
25	  0.273654
26	  0.283654
27	  0.293654
28	  0.303654
29	  0.313654
30	  0.323654
31	  0.333654
32	  0.343654
33	  0.353654
34	  0.363654
35	  0.373654
36	  0.383654
37	  0.393654
38	  0.403654
39	  0.413654
40	  0.423654
41	  0.433654
42	  0.443654
43	  0.453654
44	  0.463654
45	  0.473654
46	  0.483654
47	  0.493654
48	  0.503654
49	  0.513654
50	  0.523654
51	  0.533654
52	  0.543654
53	  0.553654
54	  0.563654
55	  0.573654
56	  0.583654
57	  0.593654
58	  0.603654
59	  0.613654
60	  0.623654
61	  0.633654
62	  0.643654
63	  0.653654
64	  0.663654
65	  0.673654
66	  0.683654
67	  0.693654
68	  0.703654
69	  0.713654
70	  0.723653
71	  0.733653
72	  0.743653
73	  0.753653
74	  0.763653
75	  0.773653
76	  0.783653
77	  0.793653
78	  0.803653
79	  0.813653
80	  0.823653
81	  0.833653
82	  0.843653
83	  0.853653
84	  0.863653
85	  0.873653
86	  0.883653
87	  0.893653
88	  0.903653
